label,packet_count,avg_packet_size,unique_src_ips,unique_dst_ips,unique_dst_ports,tcp_count,udp_count,reasons
ALERT,331,318.83,89,5,8,35,296,Possible DoS: high packet volume
ALERT,534,510.87,104,9,8,19,515,Possible DoS: high packet volume
ALERT,512,391.06,101,8,8,40,472,Possible DoS: high packet volume
ALERT,660,372.83,108,12,12,48,612,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,732,393.95,105,8,9,25,707,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,454,403.24,105,7,10,40,414,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,891,478.73,108,13,10,28,863,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,460,425.43,107,10,11,52,408,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,865,440.77,106,9,7,31,834,Possible DoS: high packet volume
ALERT,338,333.35,100,11,12,50,288,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,325,444.94,78,9,8,33,292,Possible DoS: high packet volume
ALERT,1088,448.37,115,19,19,355,733,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,642,463.27,89,13,15,148,494,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,681,505.52,110,11,13,108,573,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,417,417.87,106,9,11,46,371,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,387,341.11,92,16,19,131,256,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,144,431.33,77,6,6,13,131,Possible DoS: high packet volume
ALERT,377,392.66,99,11,13,60,317,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,255,288.69,62,6,11,70,185,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,418,440.8,101,14,15,40,378,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,434,538.59,95,10,12,61,373,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,211,427.31,77,13,16,54,157,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,326,464.81,95,7,9,29,297,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,287,442.37,95,7,9,37,250,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,278,363.65,85,8,8,27,251,Possible DoS: high packet volume
ALERT,223,442.13,87,7,9,35,188,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,336,420.04,99,10,8,38,298,Possible DoS: high packet volume
ALERT,367,501.5,96,15,16,64,303,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
